SPBP4H10.15	ACO2(C)
SPAC11D3.02c	NONE
SPAC11D3.03c	NONE
SPAC11D3.04c	NONE
SPAC11D3.05	NONE
SPAC11D3.06	SLC47A1|SLC47A2
SPAC11D3.07c	NONE
SPAC11D3.08c	NONE
SPAC11D3.09	AGMAT
SPAC11D3.10	NONE
SPAC11D3.11c	NONE
SPAC11D3.13	NONE
SPAC11D3.14c	OPLAH
SPAC11D3.15	OPLAH
SPAC11D3.16c	NONE
SPAC11D3.17	NONE
SPAC11D3.18c	SLC17A1|SLC17A2|SLC17A3|SLC17A4|SLC17A5|SLC17A6|SLC17A7|SLC17A8
SPAC11D3.19	NONE
SPAC11D3.20	NONE
SPAC11E3.01c	SRCAP
SPAC11E3.02c	BAIAP3|UNC13A|UNC13B|UNC13C|UNC13D
SPAC11E3.03	NONE
SPAC11E3.04c	UBE2N
SPAC11E3.05	WDR59
SPAC11E3.06	MEF2A|MEF2B|MEF2C|MEF2D
SPAC11E3.07	ATP6V1E1|ATP6V1E2
SPAC11E3.08c	SLF2
SPAC11E3.09	PTPN1|PTPN2
SPAC11E3.10	NONE
SPAC11E3.11c	PSD|PSD2|PSD3|PSD4
SPAC11E3.12	NDUFV2
SPAC11E3.13c	NONE
SPAC11E3.14	IFT70B|TTC39A|TTC39C
SPAC11E3.15	RPL22
SPAC11G7.01	NONE
SPAC11G7.02	NEDD4|NEDD4L
SPAC11G7.03	IDH3B|IDH3G
SPAC11G7.04	UBA52
SPAC11G7.05c	MCAT
SPAC11G7.06c	NONE
SPAC11H11.01	TSG101
SPAC11H11.02c	NONE
SPAC11H11.03c	N4BP2
SPAC11H11.04	NONE
SPAC11H11.05c	NONE
SPAC11H11.06	ACTR2
SPAC1250.01	SMARCA2|SMARCA4
SPAC1250.02	NONE
SPAC1250.03	UBE2L3|UBE2L6
SPAC1250.04c	MGMT
SPAC1250.05	RPL30
SPAC1250.07	GTF3C6
SPAC1296.01c	PGM3
SPAC1296.02	COX5B
SPAC1296.03c	NONE
SPAC1296.04	TECPR1
SPAC1296.05c	CCNL1|CCNL2
SPAC1296.06	NDOR1
SPAC12B10.01c	TRIP12
SPAC12B10.02c	NAT8
SPAC12B10.03	DMWD|WDR20
SPAC12B10.04	TTLL1|TTLL2|TTLL4|TTLL5|TTLL7|TTLL9
SPAC12B10.05	XPNPEP3
SPAC12B10.06c	SDHAF2
SPAC12B10.07	CAPZA1|CAPZA2
SPAC12B10.08c	NONE
SPAC12B10.09	SLC25A26
SPAC12B10.10	NONE
SPAC12B10.11	NONE
SPAC12B10.12c	XPC
SPAC12B10.13	GID8
SPAC12B10.14c	NONE
SPAC12B10.15c	RNASEH2C
SPAC12B10.16c	NONE
SPAC12G12.01c	MIOS
SPAC12G12.02	NONE
SPAC12G12.03	HNRNPM
SPAC12G12.04	HSPD1
SPAC12G12.05c	TAF9|TAF9B
SPAC12G12.06c	RCL1
SPAC12G12.07c	CAPRIN1
SPAC12G12.08	NONE
SPAC12G12.09	NONE
SPAC12G12.10	DCAF4|DCAF4L1|DCAF4L2
SPAC12G12.11c	MINDY1|MINDY2
SPAC12G12.12	SLC35F6
SPAC12G12.13c	TENT4A|TENT4B
SPAC12G12.14c	WDR33
SPAC12G12.15	RMND1
SPAC12G12.16c	FEN1
SPAC12G12.17	NONE
SPAC1327.01c	NONE
SPAC139.01c	NONE
SPAC139.02c	SLC25A34|SLC25A35
SPAC139.03	NONE
SPAC139.04c	PIPOX
SPAC139.05	ALDH5A1
SPAC139.06	HAT1
SPAC1399.01c	SLC23A1|SLC23A2
SPAC1399.02	NONE
SPAC1399.03	NONE
SPAC1399.04c	UPRT
SPAC1399.05c	NONE
SPAC1399.06	NONE
SPAC13A11.01c	NONE
SPAC13A11.02c	CYP51A1
SPAC13A11.03	MND1
SPAC13A11.04c	USP22|USP51
SPAC13A11.05	LAP3
SPAC13A11.06	NONE
SPAC13C5.01c	PSMA4
SPAC13C5.02	PRPF40A|PRPF40B
SPAC13C5.03	NONE
SPAC13C5.04	NONE
SPAC13C5.05c	PGM3
SPAC13C5.06c	NONE
SPAC13C5.07	MRE11
SPAC13D6.01	NONE
SPAC13D6.02c	CNBP|ZCCHC13
SPAC13D6.03c	ALKBH8
SPAC13D6.04c	ABTB1
SPAC13D6.05	TBCB
SPAC13F5.01c	NONE
SPAC13F5.02c	TAF7|TAF7L
SPAC13F5.03c	NONE
SPAC13F5.04c	VTA1
SPAC13F5.05	NONE
SPAC13F5.06c	EXOC5
SPAC13F5.07c	NONE
SPAC13G6.01c	HLTF
SPAC13G6.02c	RPS3A
SPAC13G6.03	PIGG
SPAC13G6.04	TIMM8A|TIMM8B
SPAC13G6.05c	TRAPPC6A|TRAPPC6B
SPAC13G6.06c	GLDC
SPAC13G6.07c	RPS6
SPAC13G6.08	NONE
SPAC13G6.09	PDCD2
SPAC13G6.10c	NONE
SPAC13G6.11c	MVK
SPAC13G6.12c	NONE
SPAC13G6.13	NONE
SPAC13G6.14	NUDT11|NUDT3|NUDT4
SPAC13G6.15c	RCAN2|RCAN3
SPAC13G7.01c	LSS
SPAC13G7.02c	HSPA1A|HSPA1B|HSPA1L|HSPA2|HSPA6|HSPA8
SPAC13G7.03	UPF3A|UPF3B
SPAC13G7.04c	NONE
SPAC13G7.05	DGAT1
SPAC13G7.06	NONE
SPAC13G7.07	ARB2A
SPAC13G7.08c	WDR18
SPAC13G7.09c	NONE
SPAC13G7.10	TERF1|TERF2
SPAC13G7.11	MAIP1
SPAC13G7.12c	CHKA|CHKB
SPAC13G7.13c	NONE
SPAC140.01	SDHB
SPAC140.02	NCL
SPAC140.03	NONE
SPAC140.04	CCDC174
SPAC1420.01c	NONE
SPAC1420.02c	CCT5
SPAC1420.03	PSMD12
SPAC144.01	NONE
SPAC144.02	NONE
SPAC144.03	ADSS1|ADSS2
SPAC144.04c	AZIN1|AZIN2|ODC1
SPAC144.05	SHPRH
SPAC144.06	AP3D1
SPAC144.07c	GPN2
SPAC144.08	HSCB
SPAC144.09c	GTF3A
SPAC144.10c	PIGW
SPAC144.11	RPS11
SPAC144.12	RPIA
SPAC144.13c	FZR1
SPAC144.14	KIF13A|KIF13B|KIF14|KIF16B|KIF1A|KIF1C
SPAC144.15c	COG1
SPAC144.16	CIAO2B
SPAC144.17c	PFKFB1|PFKFB2|PFKFB3|PFKFB4
SPAC144.18	SLC35D1|SLC35D2
SPAC144.19	NONE
SPAC1486.01	SOD2
SPAC1486.02c	UBAC2
SPAC1486.03c	TFIP11
SPAC1486.04c	NONE
SPAC1486.05	NUP98
SPAC1486.06	NAPRT
SPAC1486.07c	MRPL11
SPAC1486.08	COX16
SPAC1486.09	NOB1
SPAC1486.10	NONE
SPAC1486.11	FMC1
SPAC14C4.01c	NONE
SPAC14C4.02c	SMC5
SPAC14C4.03	NONE
SPAC14C4.04	NONE
SPAC14C4.05c	LEMD3
SPAC14C4.06c	ZC3H14
SPAC14C4.07	SLC46A1|SLC46A2
SPAC14C4.08	NONE
SPAC14C4.09	NONE
SPAC14C4.10c	NONE
SPAC14C4.11	NONE
SPAC14C4.12c	NONE
SPAC14C4.13	RAD17
SPAC14C4.14	ATP5F1A
SPAC14C4.15c	NONE
SPAC14C4.16	NONE
SPAC1527.01	NONE
SPAC1527.02	SFT2D3
SPAC1527.03	LARP1|LARP1B
SPAC1556.01c	RAD50
SPAC1556.02c	SDHA
SPAC1556.03	PPTC7
SPAC1556.04c	CDA
SPAC1556.05c	CCDC86
SPAC1556.06	NONE
SPAC1556.07	PMM1|PMM2
SPAC1556.08c	PRKAG1|PRKAG2|PRKAG3
SPAC1565.01	HIGD1A|HIGD1B|HIGD1C|HIGD2A|HIGD2B
SPAC1565.02c	ARHGAP1
SPAC1565.03	NONE
SPAC1565.04c	NONE
SPAC1565.05	NOL11
SPAC1565.06c	NONE
SPAC1565.07c	CAND1|CAND2
SPAC1565.08	VCP
SPAC15A10.01	ABCB7
SPAC15A10.02	TAF12
SPAC15A10.03c	RAD54L
SPAC15A10.04c	ZPR1
SPAC15A10.05c	NAXE|YJEFN3
SPAC15A10.06	SLC9A6|SLC9A7|SLC9A9
SPAC15A10.07	NONE
SPAC15A10.08	ACTN1|ACTN2|ACTN4
SPAC15A10.09c	NONE
SPAC15A10.10	MKLN1
SPAC15A10.11	UBR1|UBR2
SPAC15A10.12c	TRAPPC2L
SPAC15A10.13	SCYL1
SPAC15A10.15	SGO1
SPAC15A10.16	KIAA1217|SRCIN1
SPAC15A10.17	NDUFA3
SPAC15E1.02c	NONE
SPAC15E1.03	RPL36A|RPL36AL
SPAC15E1.04	TYMS
SPAC15E1.05c	PCYT2
SPAC15E1.06	VPS29
SPAC15E1.07c	MEIKIN
SPAC15E1.08	NAA10|NAA11
SPAC15E1.09	GLRX|GLRX2
SPAC15E1.10	PSMF1
SPAC15F9.01c	GLMN
SPAC15F9.02	SEH1L
SPAC15F9.03c	NUTF2
SPAC16.01	RHOA|RHOB|RHOC
SPAC16.02c	SRSF4|SRSF5|SRSF6
SPAC16.03c	NONE
SPAC16.04	DUS3L
SPAC16.05c	JAZF1
SPAC1610.01	CLNS1A
SPAC1610.02c	MRPL1
SPAC1610.03c	NONE
SPAC1610.04	NONE
SPAC1635.01	VDAC1|VDAC2|VDAC3
SPAC1639.01c	ELOVL1|ELOVL2|ELOVL4|ELOVL5|ELOVL7
SPAC1639.02c	NONE
SPAC167.01	ERN1|ERN2
SPAC167.02	RABGGTB
SPAC167.03c	SART1
SPAC167.04	NONE
SPAC167.05	NONE
SPAC167.06c	NONE
SPAC167.07c	UBE3B
SPAC167.09	NONE
SPAC1687.01	POLR1D
SPAC1687.02	RCE1
SPAC1687.03c	RFC2
SPAC1687.04	MCMBP
SPAC1687.05	PIAS1|PIAS2|PIAS3|PIAS4
SPAC1687.06c	RPL28
SPAC1687.07	NONE
SPAC1687.08	NONE
SPAC1687.09	EPS15|EPS15L1
SPAC1687.10	PRC1
SPAC1687.11	FTSJ3
SPAC1687.12c	COQ4
SPAC1687.13c	COPS5
SPAC1687.14c	CETN2
SPAC1687.15	GSK3A|GSK3B
SPAC1687.16c	SC5D
SPAC1687.17c	DERL1|DERL2|DERL3
SPAC1687.18c	MAU2
SPAC1687.19c	QTRT1
SPAC1687.20c	CENPI
SPAC1687.21	TIGAR
SPAC1687.22c	PUM1|PUM2
SPAC1687.23c	NONE
SPAC16A10.01	NONE
SPAC16A10.02	SUB1
SPAC16A10.03c	VPS11
SPAC16A10.04	RHOA|RHOB|RHOC
SPAC16A10.05c	NONE
SPAC16A10.06c	NSMCE2
SPAC16A10.07c	TERF1|TERF2
SPAC16A10.08c	NONE
SPAC16C9.01c	NONE
SPAC16C9.02c	MTAP
SPAC16C9.03	NMD3
SPAC16C9.04c	CNOT4
SPAC16C9.05	PHF12
SPAC16C9.06c	UPF1
SPAC16C9.07	DYRK2|DYRK3|DYRK4
SPAC16E8.01	NONE
SPAC16E8.02	NONE
SPAC16E8.03	GNPNAT1
SPAC16E8.04c	NONE
SPAC16E8.05c	NONE
SPAC16E8.06c	RBM34
SPAC16E8.07c	ATP6V0A1|ATP6V0A2|ATP6V0A4|TCIRG1
SPAC16E8.08	NONE
SPAC16E8.09	NONE
SPAC16E8.10c	MRPS7
SPAC16E8.11c	GTF2H1
SPAC16E8.12c	NONE
SPAC16E8.13	BRAP
SPAC16E8.14c	NTMT1|NTMT2
SPAC16E8.15	EIF4E|EIF4E1B
SPAC16E8.16	GTF2B
SPAC16E8.17c	SUCLG1
SPAC16E8.18	NONE
SPAC16E8.18c	NONE
SPAC1705.02	SERF1A
SPAC1705.03c	NONE
SPAC1751.01c	NONE
SPAC1751.02c	NONE
SPAC1751.03	EIF3M
SPAC1751.04	NONE
SPAC1782.01	ECPAS
SPAC1782.02c	NONE
SPAC1782.03	MFAP1
SPAC1782.04	AURKAIP1
SPAC1782.05	PTPA
SPAC1782.06c	PHB1
SPAC1782.07	UQCRQ
SPAC1782.08c	REXO1
SPAC1782.09c	CDC14A|CDC14B
SPAC1782.10c	NHP2
SPAC1782.11	PAPSS1|PAPSS2
SPAC1782.12c	TMEM256
SPAC1783.01	MTRR
SPAC1783.02c	GPAT3
SPAC1783.03	CENPP
SPAC1783.04c	SIRT2|SIRT3
SPAC1783.05	CHD1|CHD2
SPAC1783.06c	ATG12
SPAC1783.07c	NONE
SPAC1783.08c	RPL15
SPAC1786.01c	NONE
SPAC1786.02	PLA2G4A|PLA2G4B|PLA2G4C|PLA2G4D|PLA2G4E|PLA2G4F
SPAC1786.03	NDC1
SPAC1786.04	NONE
SPAC17A2.01	NONE
SPAC17A2.02c	TLCD4
SPAC17A2.03c	ATP6V0D1|ATP6V0D2
SPAC17A2.04c	TTC4
SPAC17A2.05	NONE
SPAC17A2.06c	VPS8
SPAC17A2.07c	NONE
SPAC17A2.08c	GCFC2
SPAC17A2.09c	TRNAU1AP
SPAC17A2.10c	NONE
SPAC17A2.11	NONE
SPAC17A2.12	HLTF
SPAC17A2.13c	YWHAB|YWHAE|YWHAG|YWHAH|YWHAQ|YWHAZ
SPAC17A2.14	NONE
SPAC17A5.01	PEX6
SPAC17A5.02c	DBR1
SPAC17A5.03	RPL3|RPL3L
SPAC17A5.04c	NONE
SPAC17A5.05c	NONE
SPAC17A5.06	ERCC3
SPAC17A5.07c	SENP6|SENP7
SPAC17A5.08	TMED3
SPAC17A5.09c	PPP1R2
SPAC17A5.10	NONE
SPAC17A5.11	SPO11
SPAC17A5.12	NONE
SPAC17A5.13	GCH1
SPAC17A5.14	XRN1
SPAC17A5.15c	EPRS1
SPAC17A5.16	HID1
SPAC17A5.18c	NONE
SPAC17A5.19	NONE
SPAC17C9.01c	CDC27
SPAC17C9.02c	AASDHPPT
SPAC17C9.03	EIF4G2
SPAC17C9.05c	MED27
SPAC17C9.06	SAMM50
SPAC17C9.07	ALG8
SPAC17C9.08	ENDOG|EXOG
SPAC17C9.09c	TIMM13
SPAC17C9.10	SLC66A1
SPAC17C9.11c	UBXN1
SPAC17C9.12	VAPA|VAPB
SPAC17C9.13c	NONE
SPAC17C9.14	PEX19
SPAC17C9.15c	NONE
SPAC17C9.16c	NONE
SPAC17D4.01	PEX7
SPAC17D4.02	CDC45
SPAC17D4.03c	SLC30A5|SLC30A7
SPAC17D4.04	NSUN2
SPAC17G6.02c	NONE
SPAC17G6.03	NT5E
SPAC17G6.04c	CHURC1-FNTB|FNTB
SPAC17G6.05c	PTPN23
SPAC17G6.06	RPS24
SPAC17G6.07c	USE1
SPAC17G6.08	RBSN
SPAC17G6.09	SEC62
SPAC17G6.10	SMARCC1|SMARCC2
SPAC17G6.11c	NONE
SPAC17G6.12	CUL1
SPAC17G6.13	NONE
SPAC17G6.14c	DDX39A|DDX39B
SPAC17G6.15c	SFXN1|SFXN2|SFXN3|SFXN4|SFXN5
SPAC17G6.16c	CPSF3
SPAC17G6.17	LARP7
SPAC17G8.01c	NONE
SPAC17G8.02	NONE
SPAC17G8.03c	DRAP1
SPAC17G8.04c	ARPC5|ARPC5L
SPAC17G8.05	MED20
SPAC17G8.06c	NONE
SPAC17G8.07	MLLT3|YEATS4
SPAC17G8.08c	TMEM165
SPAC17G8.09	BOD1
SPAC17G8.10c	RNF8
SPAC17G8.11c	NONE
SPAC17G8.12	EXOC1
SPAC17G8.13c	KAT6A|KAT6B|KAT7|KAT8
SPAC17G8.14c	PRKCA|PRKCB|PRKCD|PRKCE|PRKCH|PRKCQ
SPAC17G8.15	CENPW
SPAC17H9.01	TUT4|TUT7
SPAC17H9.02	MTREX
SPAC17H9.03c	RAD51D
SPAC17H9.04c	TEX13A|TEX13B
SPAC17H9.05	EBNA1BP2
SPAC17H9.06c	CCDC82
SPAC17H9.07	SRP9
SPAC17H9.08	SLC25A16
SPAC17H9.09c	HRAS|KRAS|NRAS
SPAC17H9.10c	DDB1
SPAC17H9.11	GMFB|GMFG
SPAC17H9.12c	CYB5RL
SPAC17H9.13c	ALDH18A1
SPAC17H9.14c	NONE
SPAC17H9.16	TOMM22
SPAC17H9.17c	NONE
SPAC17H9.18c	NONE
SPAC17H9.19c	DTL
SPAC17H9.20	STAG1|STAG2|STAG3
SPAC1805.01c	PASK
SPAC1805.02c	ETFB
SPAC1805.03c	TRMT13
SPAC1805.04	NUP133
SPAC1805.05	CSNK1G1|CSNK1G2|CSNK1G3
SPAC1805.06c	ALAD
SPAC1805.07c	NONE
SPAC1805.08	DYNLT1|DYNLT2|DYNLT2B|DYNLT4|DYNLT5
SPAC1805.09c	MTFMT
SPAC1805.10	CCZ1
SPAC1805.11c	RPS26
SPAC1805.12c	UBA52
SPAC1805.13	RPL14
SPAC1805.14	NONE
SPAC1805.15c	NEDD4|NEDD4L
SPAC1805.16c	PNP
SPAC1805.17	XPO1
SPAC1805.18	POP7|RPP25|RPP25L
SPAC1834.01	ETF1
SPAC1834.02	NONE
SPAC1834.03c	H4C1|H4C11|H4C12|H4C13|H4C14|H4C16|H4C2|H4C3|H4C4|H4C5|H4C6|H4C7|H4C8|H4C9
SPAC1834.04	H3-3A|H3-3B|H3-4|H3-7|H3C1|H3C10|H3C11|H3C12|H3C13|H3C14|H3C15|H3C3|H3C6|H3C7|H3C8
SPAC1834.05	ALG9
SPAC1834.06c	CAB39|CAB39L
SPAC1834.07	KIF5B
SPAC1834.08	NONE
SPAC1834.09	WHR1
SPAC1834.10c	TMEM70
SPAC1834.11c	NSF
SPAC1834.13	NONE
SPAC1851.02	AGPAT1|AGPAT2
SPAC1851.03	CSNK2B
SPAC1851.04c	RIC1
SPAC186.01	NONE
SPAC186.02c	NONE
SPAC186.03	ASPG
SPAC186.04c	NONE
SPAC186.05c	TMEM165
SPAC186.06	PBLD
SPAC186.07c	NONE
SPAC186.08c	LDHA|LDHAL6A|LDHB
SPAC186.09	NONE
SPAC18B11.02c	RPUSD2
SPAC18B11.03c	NONE
SPAC18B11.04	NCS1
SPAC18B11.05	PIGV
SPAC18B11.06	NGDN
SPAC18B11.07c	UBE2A|UBE2B
SPAC18B11.08c	WDR83OS
SPAC18B11.09c	NONE
SPAC18B11.10	NONE
SPAC18B11.11	TSC2
SPAC18G6.01c	NONE
SPAC18G6.02c	NONE
SPAC18G6.03	RAB11A|RAB11B
SPAC18G6.04c	SHMT1|SHMT2
SPAC18G6.05c	GCN1
SPAC18G6.06	UTP11
SPAC18G6.07c	EMG1
SPAC18G6.09c	PNRC1|PNRC2
SPAC18G6.10	LEMD2
SPAC18G6.11c	RRN3
SPAC18G6.12c	NONE
SPAC18G6.13	NONE
SPAC18G6.14c	RPS7
SPAC18G6.15	MAPRE1|MAPRE2
SPAC1952.01	PIGU
SPAC1952.02	GPATCH4
SPAC1952.03	OTUD6A|OTUD6B
SPAC1952.04c	NONE
SPAC1952.05	KAT2A|KAT2B
SPAC1952.06c	CTNNBL1
SPAC1952.07	RAD1
SPAC1952.08c	CREG1
SPAC1952.09c	OXCT1
SPAC1952.10c	NONE
SPAC1952.11c	NONE
SPAC1952.12c	COPS7A|COPS7B
SPAC1952.13	LPIN1|LPIN2|LPIN3
SPAC1952.14c	GADD45GIP1
SPAC1952.15c	MEI4
SPAC1952.16	NONE
SPAC1952.17c	TBC1D13
SPAC19A8.01c	DAPP1
SPAC19A8.02	APPL1|APPL2
SPAC19A8.03	MTM1|MTMR1|MTMR2|MTMR6|MTMR7|MTMR8|MTMR9
SPAC19A8.04	CYP26A1|CYP26B1|CYP26C1
SPAC19A8.05c	STAM|STAM2
SPAC19A8.06	RDH14
SPAC19A8.07c	IMP4
SPAC19A8.08	UPF2
SPAC19A8.09	IER3IP1
SPAC19A8.10	NONE
SPAC19A8.11c	AAGAB
SPAC19A8.12	DCP2
SPAC19A8.13	SNRNP35
SPAC19A8.14	PTRH2
SPAC19A8.15	NONE
SPAC19A8.16	NONE
SPAC19B12.01	TTC27
SPAC19B12.02c	NONE
SPAC19B12.03	NONE
SPAC19B12.04	FAU
SPAC19B12.05c	CTDP1
SPAC19B12.06c	NONE
SPAC19B12.07c	ZNF277
SPAC19B12.08	ATG4A|ATG4B|ATG4C|ATG4D
SPAC19B12.09	SRP14
SPAC19B12.10	STAMBP
SPAC19B12.11c	ZNF593
SPAC19B12.12c	GEMIN2
SPAC19D5.01	PTPN1|PTPN2
SPAC19D5.02c	EMC10
SPAC19D5.03	TUT4|TUT7
SPAC19D5.04	HUWE1
SPAC19D5.05c	IMP3
SPAC19D5.06c	DXO
SPAC19D5.07	ABAT
SPAC19D5.10c	NONE
SPAC19D5.11c	CHTF8
SPAC19E9.01c	NUP35
SPAC19E9.02	NEK2
SPAC19E9.03	CNPPD1
SPAC19G12.01c	ANAPC4
SPAC19G12.02c	PMS2
SPAC19G12.03	NONE
SPAC19G12.04	NONE
SPAC19G12.05	SLC25A1
SPAC19G12.06c	H2AB1|H2AB2|H2AB3|H2AC1|H2AC11|H2AC12|H2AC13|H2AC14|H2AC15|H2AC16|H2AC17|H2AC21|H2AC25|H2AC4|H2AC6|H2AC8|H2AJ|H2AX
SPAC19G12.07c	RBM23|RBM39
SPAC19G12.08	FA2H
SPAC19G12.09	NONE
SPAC19G12.10c	CTSA
SPAC19G12.11	COQ9
SPAC19G12.12	PDSS2
SPAC19G12.13c	NONE
SPAC19G12.14	PIP5K1A|PIP5K1B|PIP5K1C
SPAC19G12.15c	NONE
SPAC19G12.16c	NONE
SPAC19G12.17	ERH
SPAC1A6.01c	TRIP4
SPAC1A6.02	WDR55
SPAC1A6.03c	PLA2G4A|PLA2G4B|PLA2G4C|PLA2G4D|PLA2G4E|PLA2G4F
SPAC1A6.04c	PLA2G4A|PLA2G4B|PLA2G4C|PLA2G4D|PLA2G4E|PLA2G4F
SPAC1A6.05c	NONE
SPAC1A6.06c	NONE
SPAC1A6.07	NONE
SPAC1A6.08c	NONE
SPAC1A6.09c	CERS2|CERS3|CERS4|CERS5|CERS6
SPAC1A6.10	UBA5
SPAC1A6.11	NONE
SPAC1B1.01	NONE
SPAC1B1.02c	NADK
SPAC1B1.03c	KPNB1
SPAC1B1.04c	PAN3
SPAC1B2.02c	NONE
SPAC1B2.03c	ELOVL1|ELOVL2|ELOVL4|ELOVL5|ELOVL7
SPAC1B2.04	COX5A
SPAC1B2.05	MCM5
SPAC1B2.06	NONE
SPAC1B3.01c	UCK1|UCK2
SPAC1B3.02c	ELOF1
SPAC1B3.03c	PPID
SPAC1B3.04c	GUF1
SPAC1B3.05	CNOT3
SPAC1B3.06c	NONE
SPAC1B3.07c	VPS28
SPAC1B3.08	PCID2
SPAC1B3.09c	NOC2L
SPAC1B3.10c	SEL1L|SEL1L2|SEL1L3
SPAC1B3.11c	RAB14|RAB4A|RAB4B
SPAC1B3.12c	POLR2L
SPAC1B3.13	WDR75
SPAC1B3.14	ATP6V0C
SPAC1B3.15c	NONE
SPAC1B3.16c	NONE
SPAC1B3.17	NONE
SPAC1B3.18c	MRPS11
SPAC1B3.20	NONE
SPAC1B3.21	COA3
SPAC1B9.02c	AKT1|AKT2|SGK1|SGK2|SGK3
SPAC1B9.03c	PPAN
SPAC1D4.01	C9orf78
SPAC1D4.02c	GORASP1|GORASP2
SPAC1D4.03c	MON1A|MON1B
SPAC1D4.04	CCT2
SPAC1D4.05c	NONE
SPAC1D4.06c	NONE
SPAC1D4.08	CDIPT
SPAC1D4.09c	RTF2
SPAC1D4.10	ELAC1|ELAC2
SPAC1D4.11c	CLK1|CLK2|CLK3|CLK4
SPAC1D4.12	ERCC2
SPAC1D4.13	MAP2K1|MAP2K2
SPAC1D4.14	THOC2
SPAC1F12.02c	TPT1
SPAC1F12.04c	PEX11A|PEX11B
SPAC1F12.05	NONE
SPAC1F12.06c	ENDOV
SPAC1F12.07	PSAT1
SPAC1F12.08	COASY
SPAC1F12.09	PIGS
SPAC1F12.10c	CYB5R4
SPAC1F3.01	EXOSC10
